,0
0,5
1,5
2,6
3,5
4,5
5,3
6,4
7,5
8,5
9,2
10,3
11,3
12,6
13,5
14,2
15,6
16,6
17,6
18,6
19,7
20,3
21,3
22,5
23,6
24,5
25,4
26,5
27,5
28,4
29,8
30,9
31,6
32,5
33,5
34,5
35,4
36,2
37,6
38,6
39,8
40,5
41,4
42,4
43,3
44,5
45,7
46,6
47,5
48,5
49,4
50,3
51,6
52,5
53,3
54,4
55,4
56,5
57,6
58,2
59,5
60,4
61,6
62,5
63,4
64,5
65,7
66,6
67,5
68,7
69,7
70,5
71,5
72,3
73,7
74,6
75,6
76,5
77,6
78,6
79,4
80,5
81,6
82,6
83,6
84,4
85,6
86,5
87,3
88,5
89,6
90,6
91,7
92,5
93,4
94,5
95,2
96,5
97,6
98,6
99,6
100,6
101,8
102,7
103,3
104,7
105,4
106,5
107,8
108,5
109,4
110,4
111,6
112,4
113,6
114,5
115,7
116,7
117,4
118,7
119,3
120,6
121,4
122,5
123,4
124,7
125,3
126,8
127,3
128,6
129,3
130,7
131,2
132,6
133,8
134,4
135,5
136,4
137,5
138,1
139,7
140,4
141,5
142,3
143,6
144,6
145,5
146,8
147,5
148,3
149,6
150,7
151,4
152,4
153,6
154,4
155,4
156,7
157,9
158,5
159,4
160,6
161,7
162,6
163,5
164,4
165,6
166,5
167,1
168,4
169,5
170,6
171,6
172,6
173,8
174,4
175,4
176,5
177,4
178,3
179,6
180,5
181,7
182,2
183,5
184,7
185,5
186,7
187,5
188,5
189,2
190,6
191,5
192,6
193,4
194,4
195,5
196,6
197,3
198,5
199,6
200,7
201,4
202,5
203,6
204,5
205,6
206,6
207,5
208,6
209,6
210,5
211,5
212,6
213,3
214,5
215,5
216,6
217,4
218,7
219,2
220,6
221,7
222,7
223,7
224,5
225,1
226,4
227,5
228,4
229,4
230,5
231,7
232,5
233,7
234,5
235,5
236,2
237,6
238,6
239,7
240,7
241,7
242,6
243,6
244,7
245,6
246,5
247,6
248,7
249,4
250,4
251,9
252,5
253,5
254,3
255,7
256,5
257,5
258,6
259,7
260,4
261,6
262,6
263,5
264,8
265,3
266,2
267,4
268,6
269,5
270,6
271,9
272,6
273,5
274,3
275,3
276,6
277,3
278,6
279,2
280,6
281,6
282,7
283,8
284,6
285,7
286,4
287,7
288,7
289,5
290,3
291,6
292,6
293,4
294,7
295,7
296,4
297,3
298,5
299,1
300,4
301,5
302,4
303,4
304,4
305,7
306,5
307,5
308,5
309,3
310,6
311,5
312,6
313,3
314,5
315,5
316,4
317,5
318,6
319,5
320,5
321,6
322,6
323,6
324,3
325,5
326,6
327,7
328,5
329,3
330,6
331,5
332,6
333,5
334,4
335,3
336,4
337,5
338,2
339,3
340,6
341,8
342,5
343,3
344,4
345,8
346,7
347,8
348,8
349,7
350,7
351,9
352,4
353,6
354,4
355,6
356,7
357,3
358,5
359,5
360,6
361,3
362,6
363,3
364,6
365,4
366,4
367,5
368,6
369,5
370,4
371,8
372,4
373,4
374,5
375,4
376,5
377,5
378,6
379,4
380,4
381,3
382,4
383,3
384,7
385,6
386,4
387,5
388,5
389,5
390,7
391,4
392,6
393,7
394,4
395,3
396,6
397,3
398,5
399,3
400,4
401,4
402,7
403,6
404,4
405,4
406,4
407,1
408,4
409,5
410,4
411,4
412,5
413,7
414,5
415,6
416,5
417,5
418,4
419,7
420,7
421,6
422,3
423,3
424,7
425,1
426,3
427,6
428,3
429,7
430,4
431,4
432,6
433,6
434,5
435,6
436,5
437,5
438,4
439,3
440,6
441,5
442,4
443,5
444,2
445,4
446,5
447,6
448,3
449,6
450,8
451,3
452,4
453,3
454,4
455,7
456,4
457,8
458,4
459,6
460,4
461,5
462,7
463,3
464,5
465,5
466,6
467,3
468,6
469,4
470,3
471,5
472,5
473,2
474,4
475,6
476,7
477,7
478,5
479,5
480,6
481,8
482,5
483,7
484,5
485,5
486,6
487,7
488,6
489,6
490,5
491,2
492,7
493,4
494,8
495,6
496,5
497,4
498,9
499,6
500,6
501,6
502,6
503,4
504,6
505,6
506,4
507,7
508,5
509,3
510,6
511,3
512,5
513,5
514,4
515,6
516,4
517,5
518,4
519,3
520,3
521,6
522,5
523,5
524,4
525,5
526,4
527,4
528,6
529,5
530,3
531,6
532,4
533,4
534,4
535,4
536,7
537,3
538,4
539,7
540,6
541,6
542,4
543,4
544,4
545,6
546,5
547,6
548,6
549,7
550,5
551,7
552,6
553,3
554,7
555,8
556,7
557,6
558,3
559,5
560,7
561,4
562,5
563,4
564,6
565,2
