,0
0,0
1,0
2,1
3,1
4,0
5,1
6,3
7,1
8,0
9,2
10,0
11,1
12,0
13,2
14,1
15,0
16,1
17,0
18,0
19,0
20,2
21,2
22,0
23,1
24,2
25,0
26,0
27,1
28,3
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,2
45,1
46,4
47,2
48,0
49,3
50,0
51,0
52,2
53,0
54,0
55,0
56,0
57,2
58,1
59,0
60,0
61,1
62,1
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,2
75,1
76,1
77,0
78,3
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,1
90,1
91,1
92,2
93,2
94,2
95,1
96,0
97,0
98,3
99,1
100,0
101,0
102,0
103,3
104,1
105,1
106,0
107,3
108,1
109,2
110,0
111,3
112,1
113,3
114,0
115,2
116,2
117,1
118,0
119,2
120,0
121,1
122,1
123,0
124,2
125,3
126,1
127,3
128,1
129,0
130,2
131,2
132,1
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,2
141,2
142,3
143,0
144,1
145,2
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,2
154,3
155,0
156,2
157,0
158,0
159,0
160,0
161,1
162,3
163,1
164,1
165,2
166,0
167,2
168,0
169,2
170,0
171,3
172,1
173,1
174,1
175,2
176,0
177,2
178,1
179,1
180,0
181,3
182,3
183,0
184,2
185,0
186,1
187,3
188,1
189,2
190,1
191,2
192,1
193,1
194,0
195,1
196,0
197,1
198,3
199,0
200,2
201,0
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,1
212,2
213,2
214,1
215,1
216,2
217,2
218,2
219,2
220,3
221,2
222,0
223,2
224,0
225,2
226,1
227,0
228,4
229,0
230,1
231,2
232,1
233,0
234,1
235,0
236,2
237,0
238,1
239,0
240,3
241,1
242,1
243,2
244,0
245,2
246,0
247,2
248,3
249,3
250,2
251,0
252,0
253,4
254,0
255,0
256,0
257,1
258,1
259,3
260,2
261,0
262,3
263,2
264,1
265,3
266,2
267,0
268,2
269,0
270,0
271,0
272,0
273,1
274,4
275,0
276,1
277,1
278,0
279,1
280,2
281,0
282,2
283,2
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,2
292,1
293,3
294,5
295,1
296,0
297,1
298,0
299,0
300,4
301,0
302,2
303,1
304,0
305,1
306,2
307,2
308,0
309,0
310,2
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,2
322,0
323,0
324,2
325,1
326,1
327,0
328,1
329,0
330,2
331,3
332,0
333,0
334,1
335,0
336,3
337,1
338,1
339,1
340,1
341,0
342,0
343,2
344,0
345,1
346,1
347,1
348,1
349,2
350,0
351,0
352,1
353,2
354,0
355,0
356,2
357,0
358,0
359,0
360,2
361,1
362,0
363,1
364,1
365,2
366,0
367,3
368,1
369,1
370,2
371,2
372,0
373,1
374,1
375,3
376,1
377,0
378,1
379,0
380,2
381,0
382,1
383,1
384,0
385,0
386,2
387,0
388,0
389,2
390,0
391,0
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,2
402,0
403,2
404,2
405,0
406,0
407,0
408,1
409,0
410,0
411,2
412,1
413,1
414,3
415,1
416,0
417,1
418,1
419,0
420,1
421,1
422,1
423,4
424,2
425,0
426,0
427,3
428,0
429,1
430,4
431,3
432,4
433,0
434,2
435,0
436,0
437,2
438,2
439,1
440,1
441,0
442,1
443,1
444,2
445,2
446,1
447,1
448,0
449,1
450,2
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,3
464,3
465,1
466,1
467,0
468,0
469,0
470,2
471,1
472,0
473,1
474,2
475,0
476,1
477,2
478,2
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,1
489,3
490,0
491,0
492,0
493,1
494,0
495,1
496,2
497,2
498,0
499,0
500,1
501,2
502,0
503,2
504,0
505,1
506,2
507,2
508,0
509,1
510,2
511,1
512,1
513,1
514,2
515,1
516,0
517,1
518,3
519,1
520,1
521,1
522,3
523,1
524,4
525,1
526,2
527,0
528,1
529,0
530,1
531,1
532,1
